description,search_index,createdby,createddate,pi,id,name
,'dev':1,,2015-11-17 12:04:41.424138+00:00,John McCallum,1,Dev
Test Data for Development,'data':3 'dev':1 'develop':5 'test':2,,2015-11-17 12:49:56.110450+00:00,John McCallum,2,Dev
,'12east':2 'kiwifruit':1,,2015-11-20 11:14:40.386012+00:00,Unkown,3,Kiwifruit 12East
,'ach':2 'kiwifruit':1,,2015-11-20 12:40:00.726874+00:00,Unkown,4,Kiwifruit Ach
,'gbs':2 'kiwifruit':1 'maiz':4 'workshop':3,,2015-11-20 12:53:50.105580+00:00,Unkown,5,Kiwifruit GBS_Workshop_Maize
,'qtl':3 'sampl':2 'train':1,,2015-11-20 13:00:53.718764+00:00,Unkown,6,Training Sample QTL
